,state,edss-1,blood-1,blood-2,blood-3,thyroid-1,thyroid-2,thyroid-3,thyroid-4,thyroid-5,thyroid-6,thyroid-7,ana18-1,aqp4igg-1,vitd-1,vitd-2,t_b-1,t_b-2,t_b-3,t_b-4,t_b-5,t_b-6,t_b-7,t_b-8,t_b-9,t_b-10,ig3-1,ig3-2,ig3-3,il_6-1,interval,event
state,0.9999999999999998,0.1638945541416268,0.08024505228640158,0.009961345399184375,0.08985758724811592,-0.16584094761085078,0.05274156123080936,-0.17200755100386655,-0.003855010732698848,-0.1250524555972931,0.03429076536980368,0.018097027428223895,-0.0010616145438713128,0.09229523510515919,-0.048874322138172686,-0.02717800877087465,0.12414589840194672,0.16287691287149475,-0.05966978288670812,-0.06896028282380273,-0.005257067270689117,-0.10777880694495025,0.0027292498942493226,-0.02744269545785015,-0.07873440530309202,-0.01823124861913819,0.024412427735167424,0.06229770022018129,0.050220607254360325,-0.019732120813467015,-0.02551410167292715,0.10844048898351631
edss-1,0.1638945541416268,1.0,0.1021098926205358,0.024279336216502665,0.10849563933450675,-0.1679319653406328,0.045164864789611216,-0.17028443761034792,-0.04734984111790269,-0.06716388700212385,0.032458216754741684,0.0847060203387438,0.03375764201461164,0.10649081773926475,-0.053672842849791284,-0.04490350281875217,0.07294907713919875,0.06290312419094125,-0.047365912973175814,-0.07349027480110029,0.045779721681201015,0.01299795887390413,0.05751514500236474,0.03593975192120592,-0.0025732247657954455,0.02149697667279735,-0.1058006134435439,-0.004425669436421681,0.001941757722455524,0.06900154513629764,-0.0104546827200462,0.046604880738809105
blood-1,0.08024505228640158,0.10210989262053578,1.0,0.5035123032057792,0.8060496283264962,-0.038507678737614986,0.06693334242082036,-0.06700590404641105,-0.020838690956702745,-0.02416652185229794,0.009186339112862972,0.009293051596263466,-0.06244864255599989,0.010739754519290467,-0.028886776072563125,0.010750179791795931,0.15883391096149552,0.034009879778594376,0.11258255097165996,0.004931124834844773,0.20635297634018904,-0.02793737136223316,0.18769718441011965,0.15442743844440274,-0.04625561078751007,0.02576042716027285,-0.07130689370798851,-0.01922169533267391,0.023024215944219564,0.06239847484229228,0.0470342282107666,0.0036691264283959407
blood-2,0.009961345399184373,0.02427933621650266,0.5035123032057791,0.9999999999999998,0.32424935087276063,0.011823592367373695,0.04295573385916615,0.0003624142423388252,-0.02794477552388793,0.036716908109120844,-0.007774102850457571,0.013346216749674017,-0.007071700719864555,-0.011187738314299568,-0.015174593240977337,0.003491588407867077,0.215818263842598,0.012864283902517244,0.17574168288841138,-0.004084719084602946,0.3851441506455221,0.007755654392473229,0.3251791746658808,0.29330224472655786,-0.03449948718545589,0.04460848352700008,-0.09418728349133706,0.020782457285679193,0.003268833003050008,-0.011339011462359284,0.04315298436038392,0.0049903950026778075
blood-3,0.08985758724811592,0.10849563933450673,0.8060496283264961,0.32424935087276063,1.0,-0.05048545822136691,0.06358500727269338,-0.07775118041632328,-0.00868906678573589,-0.03203765897153215,0.0038014912147075574,0.007136307898258651,-0.0610570121077011,0.013713658192387785,-0.031213587056450862,0.015982578602876114,0.1021411001305292,0.033835743231225734,0.06451087339837663,0.005812024932484864,0.10948442495561778,-0.032887439612549224,0.10389222790599208,0.07724309299150506,-0.03997901535841935,0.014704733393329047,-0.050743432950166846,-0.03408133896212875,0.017712593561646166,0.07598778356422023,0.03724805905302351,0.004316922024627681
thyroid-1,-0.16584094761085078,-0.16793196534063282,-0.03850767873761498,0.011823592367373695,-0.0504854582213669,0.9999999999999999,0.14597059405726068,0.5604747425023798,0.2067043849013531,0.14326459729850663,-0.10333511120656766,-0.061366578401621956,-0.03536176605096645,-0.049899980781723925,0.16382079816665357,0.10294694965208462,-0.08529564170627245,-0.20009458718584527,0.1651196401269367,0.11380127240602937,0.10234364493107055,0.10418330719516787,0.08169694590008167,0.12325216356877021,0.059931746800209414,0.04002384500337241,-0.058622901389291084,-0.07399773816969334,-0.06629827954235958,-0.0217004618647191,-0.0023738930590920296,0.02117058905915873
thyroid-2,0.05274156123080936,0.045164864789611216,0.06693334242082036,0.04295573385916616,0.06358500727269337,0.14597059405726068,1.0,0.014667406206700656,0.3061066840929037,-0.03952223620000126,0.017847845476543365,0.03576847089954224,-0.0283219656562005,0.02207506917017033,-0.011696661581946943,-0.01791698074872623,0.17371798692437843,0.11952012351078431,0.04153075218835637,-0.047735003539922896,0.1308220178724206,-0.05094725112922231,0.11038841199202493,0.10986028905695217,-0.04832843243032364,0.01657140660457117,-0.11282596185886491,-0.0643812307929539,-0.01041914487711281,-0.045049740734910144,0.00993981874650583,-0.012372182683259746
thyroid-3,-0.17200755100386655,-0.1702844376103479,-0.06700590404641105,0.0003624142423388252,-0.07775118041632328,0.5604747425023798,0.014667406206700654,1.0,0.34183325277434096,0.1266154792777706,-0.0812023653726032,-0.024902394598613042,0.016719433047061655,-0.029284686540288752,0.15256833398841965,0.12242312369800633,-0.198480544294775,-0.27090393416205116,0.12618488926614865,0.13289631747419112,-0.011378490846533787,0.14664119654055763,-0.02879630567503742,0.03629426472232328,0.09678287434926117,-0.0029164923014625525,0.057703835240624266,0.016338367135181324,-0.08283790363081486,-0.005101399218379174,-0.054975203824913506,0.03528219838621149
thyroid-4,-0.003855010732698848,-0.04734984111790269,-0.020838690956702745,-0.02794477552388793,-0.00868906678573589,0.2067043849013531,0.3061066840929037,0.34183325277434096,1.0,-0.03896956896898777,0.02738911425960383,0.021920810900228065,0.04825531376432265,0.0348859782315247,0.028009633353965283,0.07132520828971357,-0.009703959813040635,-0.013528222119243824,0.0342949664189032,0.04081989236704785,-0.018974650109671722,-0.01660990352035842,-0.015335597075721564,-0.0140921719160236,-0.018394655499653228,-0.01443358826822097,0.05956002060304929,0.037510603097095946,-0.019868913348901823,0.011481075733651733,0.0529104241439935,0.017693275885458302
thyroid-5,-0.1250524555972931,-0.06716388700212385,-0.02416652185229794,0.036716908109120844,-0.03203765897153215,0.14326459729850663,-0.03952223620000126,0.1266154792777706,-0.03896956896898777,1.0,0.015814127758797297,0.020108995437530097,0.03941962691907689,-0.013918007171022477,0.05003811762984325,-0.042082638962843914,0.015090579430956104,-0.04866108743326075,0.02352536552748745,-0.04049877187303612,0.10849355403376668,0.09505829641914434,0.0934453205250392,0.11435680151924585,0.07968401534856828,0.034841414663318,0.0005770207635101078,-0.030435072489237054,-0.03214605216926084,0.10261537164770854,-0.07480173259133956,0.012931690865425201
thyroid-6,0.03429076536980368,0.032458216754741684,0.009186339112862972,-0.00777410285045757,0.003801491214707558,-0.10333511120656766,0.017847845476543365,-0.08120236537260321,0.027389114259603834,0.015814127758797293,1.0,0.3908901068205603,0.10738467634883783,-0.001483248883642488,-0.04449618555569997,-0.028369286275512804,0.06723308089591348,0.13554734790527803,-0.11054916722755659,-0.07713946021666183,-0.07251744869183872,-0.07954126947308869,-0.012904753840365286,-0.10324131637774737,-0.10105994178452882,0.03551649922281247,0.1081667210174181,0.04198040777583346,0.10611697985951918,0.08041573335990225,0.0737820472791879,0.00028327799522193553
thyroid-7,0.018097027428223895,0.08470602033874382,0.009293051596263466,0.013346216749674018,0.00713630789825865,-0.061366578401621956,0.03576847089954224,-0.024902394598613042,0.021920810900228065,0.020108995437530097,0.3908901068205603,1.0,0.11945913568769763,0.050380403258624265,-0.04856500322240779,-0.02515793095047555,0.0724916672410406,0.1277850272625609,-0.06703452549963178,-0.05104766291992586,-0.039309754507248974,-0.11087812825561189,0.002692081020956493,-0.059366428324530034,-0.08317092710051296,0.0021100379638239733,0.17357337011002905,0.0660626666181866,0.15964385481799973,0.012863514068271105,0.08066389573750306,-0.044826872906389426
ana18-1,-0.0010616145438713128,0.03375764201461164,-0.06244864255599989,-0.007071700719864556,-0.06105701210770109,-0.035361766050966456,-0.028321965656200505,0.016719433047061655,0.04825531376432264,0.03941962691907689,0.10738467634883783,0.11945913568769763,1.0,0.053146333402881045,-0.0685349943679414,-0.01898173462109023,-0.019142154849516,0.045120971813838534,-0.16998911111891582,-0.1139060867190076,-0.08556210097638046,0.028479679996445125,-0.07972052586350477,-0.05590043958997231,0.048021895697817445,-0.026420461696825798,0.27007210438028106,0.19542082081356896,0.025784768051359257,0.07125360990428466,-0.0759719815518241,0.0723926834661235
aqp4igg-1,0.0922952351051592,0.10649081773926475,0.010739754519290467,-0.01118773831429957,0.013713658192387785,-0.049899980781723925,0.02207506917017033,-0.029284686540288755,0.03488597823152471,-0.013918007171022479,-0.001483248883642488,0.05038040325862427,0.053146333402881045,1.0,-0.01294646763372028,-0.026726480895280885,0.010521716571165978,0.06618912034720958,-0.08410704574548346,-0.057060333134115404,-0.06489437889254401,-0.017064551315907273,-0.06756142340340848,-0.051829163773568,0.014908514368538305,-0.03026505124406836,0.0838880560549165,0.05390714095366563,0.1062381202760341,-0.012425278162828225,-0.029561286972172918,0.06696273241398303
vitd-1,-0.04887432213817269,-0.05367284284979129,-0.028886776072563125,-0.015174593240977337,-0.031213587056450866,0.16382079816665357,-0.011696661581946943,0.15256833398841965,0.028009633353965287,0.05003811762984325,-0.04449618555569997,-0.04856500322240779,-0.0685349943679414,-0.012946467633720283,1.0,0.08324244795644602,-0.05355865702552913,-0.05378127673968282,0.03126025097953895,0.042769815056867506,-0.003676877507618074,0.014504756681522927,0.0024999237155321624,-0.017542433309144567,-0.0024417485831107226,0.031262654117051675,-0.032775110474901906,-0.045839939527434315,-0.09701862909857234,-0.01081769458507993,0.04190432399088056,0.007613497025463441
vitd-2,-0.027178008770874652,-0.04490350281875217,0.010750179791795931,0.003491588407867077,0.015982578602876118,0.10294694965208462,-0.01791698074872623,0.12242312369800634,0.07132520828971357,-0.042082638962843914,-0.028369286275512804,-0.02515793095047555,-0.01898173462109023,-0.02672648089528088,0.08324244795644603,1.0,-0.04020076649603816,-0.03529529359361267,0.05430507097348396,0.0738753983624751,-0.03539982238092087,-0.02725856399512796,-0.0233184109843219,-0.041952072967697075,-0.027212835235040644,-0.009834738970014887,0.03127136505166566,-0.0006624465978170729,0.005805673527317642,-0.06084140732564168,-0.042630601522487016,0.013702099332912781
t_b-1,0.12414589840194673,0.07294907713919875,0.15883391096149552,0.215818263842598,0.10214110013052918,-0.08529564170627243,0.1737179869243784,-0.19848054429477496,-0.009703959813040635,0.015090579430956104,0.06723308089591347,0.0724916672410406,-0.019142154849516,0.010521716571165978,-0.05355865702552913,-0.040200766496038154,1.0,0.6299859931240999,0.07589893968227926,-0.16353596483374766,0.3801686834750866,-0.22945790773340266,0.40433952393710165,0.24054388979015223,-0.2281903764945349,0.07644537360137495,-0.0802769002277486,0.05281124477829693,0.06125582763805432,0.0011911929222720673,0.00446872580379789,0.006052507407541091
t_b-2,0.16287691287149475,0.06290312419094125,0.034009879778594376,0.012864283902517246,0.03383574323122573,-0.2000945871858453,0.11952012351078431,-0.27090393416205116,-0.013528222119243824,-0.04866108743326075,0.13554734790527803,0.1277850272625609,0.04512097181383854,0.06618912034720958,-0.05378127673968282,-0.03529529359361267,0.6299859931240999,1.0,-0.10813642884815314,-0.17213387882808592,0.03697444708809066,-0.32785840805622096,0.09862959657185558,-0.05386879068926569,-0.24230625511253173,0.014812645209751712,-0.008848159216940578,0.057188788441567905,0.056640935386642895,-0.005460811634690414,-0.02721187003194778,0.004258661306367795
t_b-3,-0.059669782886708114,-0.047365912973175814,0.11258255097165995,0.17574168288841135,0.06451087339837663,0.1651196401269367,0.04153075218835637,0.12618488926614868,0.0342949664189032,0.02352536552748745,-0.11054916722755659,-0.06703452549963176,-0.16998911111891582,-0.08410704574548346,0.03126025097953895,0.05430507097348396,0.07589893968227925,-0.10813642884815312,1.0,0.6496077724954004,0.16232484241141953,-0.39895282742144156,0.13765481143862124,0.14826458513848065,-0.1600511236922671,-0.1596316290465087,-0.07418844753661305,-0.012001340770700112,-0.002727447285854529,-0.012567578079872705,-0.022767903419673895,0.009521700453744158
t_b-4,-0.06896028282380272,-0.07349027480110029,0.004931124834844773,-0.004084719084602947,0.0058120249324848635,0.11380127240602937,-0.047735003539922896,0.13289631747419112,0.04081989236704785,-0.04049877187303612,-0.07713946021666185,-0.05104766291992587,-0.11390608671900758,-0.0570603331341154,0.042769815056867506,0.0738753983624751,-0.1635359648337477,-0.17213387882808595,0.6496077724954004,1.0,-0.17911492019958114,-0.4683567229050587,-0.1764956323758718,-0.13503466634156253,-0.11931033554082737,-0.25854559575444463,-0.011353073405113533,-0.024805272534204895,-0.021869336336382557,-0.008037448590819235,-0.05169522576720019,0.007632126874266948
t_b-5,-0.005257067270689117,0.045779721681201015,0.20635297634018906,0.3851441506455221,0.10948442495561779,0.10234364493107055,0.13082201787242062,-0.011378490846533789,-0.018974650109671722,0.10849355403376669,-0.07251744869183872,-0.03930975450724897,-0.08556210097638046,-0.06489437889254401,-0.003676877507618074,-0.035399822380920876,0.38016868347508653,0.03697444708809066,0.1623248424114195,-0.17911492019958114,1.0,0.15674272475141943,0.7197043726295218,0.6379437155558231,0.003670030956361814,0.17385352140739407,-0.13586114475524005,0.011750190917180063,0.03250024954925544,0.0026247949573407693,0.04714180642351654,0.011968069194620585
t_b-6,-0.10777880694495025,0.012997958873904128,-0.027937371362233163,0.007755654392473228,-0.03288743961254922,0.10418330719516787,-0.05094725112922231,0.14664119654055763,-0.01660990352035842,0.09505829641914434,-0.07954126947308869,-0.11087812825561187,0.028479679996445125,-0.017064551315907277,0.014504756681522929,-0.02725856399512796,-0.22945790773340266,-0.3278584080562209,-0.39895282742144156,-0.46835672290505875,0.15674272475141945,0.9999999999999999,0.11055616750472329,0.17042251703923203,0.30668251847491157,0.26660923574309536,-0.025474234239102774,-0.03706471356594439,-0.036009969859208624,0.0118877639525895,0.060744664668690336,-0.016870922928873863
t_b-7,0.002729249894249322,0.05751514500236474,0.18769718441011965,0.3251791746658808,0.10389222790599208,0.08169694590008167,0.11038841199202493,-0.02879630567503742,-0.015335597075721566,0.0934453205250392,-0.012904753840365286,0.002692081020956493,-0.07972052586350478,-0.06756142340340848,0.0024999237155321624,-0.023318410984321903,0.4043395239371017,0.09862959657185558,0.13765481143862124,-0.1764956323758718,0.7197043726295218,0.11055616750472327,1.0,0.3961293564384501,-0.21693550658989166,0.38864138422128097,-0.14601876953713286,0.024129676783619353,0.030555836635916215,0.006666646193172204,0.03953919316365101,0.0016597560930858885
t_b-8,-0.02744269545785015,0.03593975192120592,0.15442743844440274,0.29330224472655786,0.07724309299150506,0.12325216356877021,0.10986028905695217,0.036294264722323284,-0.014092171916023601,0.11435680151924585,-0.10324131637774737,-0.059366428324530034,-0.05590043958997231,-0.051829163773568006,-0.017542433309144567,-0.041952072967697075,0.2405438897901522,-0.05386879068926569,0.14826458513848065,-0.13503466634156253,0.637943715555823,0.17042251703923206,0.39612935643845004,1.0,0.31933109682031974,-0.09800907909839807,-0.09455401317481446,-0.013834110157539924,0.031090599864964638,-0.009224135390389162,0.03689748537443964,0.026263758403234732
t_b-9,-0.07873440530309202,-0.0025732247657954455,-0.046255610787510074,-0.03449948718545589,-0.03997901535841934,0.05993174680020941,-0.04832843243032364,0.09678287434926117,-0.018394655499653228,0.07968401534856827,-0.1010599417845288,-0.08317092710051295,0.048021895697817445,0.014908514368538305,-0.002441748583110723,-0.027212835235040644,-0.22819037649453489,-0.24230625511253173,-0.1600511236922671,-0.11931033554082737,0.003670030956361814,0.30668251847491157,-0.21693550658989166,0.3193310968203197,1.0,-0.3440740055363446,0.029192513862269953,-0.06055214308468415,-0.01079134065243774,0.003821948004816872,-0.008038333404533297,0.017682892587338423
t_b-10,-0.01823124861913819,0.021496976672797347,0.02576042716027285,0.04460848352700007,0.014704733393329047,0.04002384500337241,0.01657140660457117,-0.0029164923014625525,-0.01443358826822097,0.034841414663318,0.03551649922281247,0.0021100379638239733,-0.026420461696825798,-0.030265051244068364,0.031262654117051675,-0.009834738970014887,0.07644537360137495,0.014812645209751712,-0.15963162904650874,-0.25854559575444463,0.17385352140739407,0.26660923574309536,0.38864138422128097,-0.09800907909839807,-0.34407400553634454,0.9999999999999999,-0.07880507523884868,0.014355144990691408,-0.004763560187138998,0.021379783362317464,0.03740167634433349,-0.014930138536261845
ig3-1,0.024412427735167424,-0.10580061344354391,-0.07130689370798851,-0.09418728349133706,-0.050743432950166846,-0.05862290138929109,-0.1128259618588649,0.057703835240624266,0.05956002060304929,0.0005770207635101078,0.10816672101741809,0.17357337011002905,0.27007210438028106,0.0838880560549165,-0.032775110474901906,0.03127136505166565,-0.0802769002277486,-0.008848159216940578,-0.07418844753661305,-0.011353073405113533,-0.13586114475524005,-0.025474234239102774,-0.14601876953713286,-0.09455401317481445,0.029192513862269953,-0.07880507523884868,0.9999999999999999,0.27663565635979365,0.20821689681613395,-0.021445557322317947,0.02976027177621472,-0.015874569686296282
ig3-2,0.06229770022018128,-0.004425669436421681,-0.01922169533267391,0.020782457285679196,-0.03408133896212875,-0.07399773816969334,-0.0643812307929539,0.016338367135181324,0.03751060309709595,-0.03043507248923705,0.04198040777583346,0.0660626666181866,0.19542082081356896,0.053907140953665625,-0.045839939527434315,-0.0006624465978170729,0.05281124477829693,0.057188788441567905,-0.01200134077070011,-0.024805272534204892,0.011750190917180063,-0.03706471356594439,0.02412967678361935,-0.013834110157539926,-0.06055214308468415,0.014355144990691408,0.27663565635979365,0.9999999999999999,0.09724508651029425,0.06603698586472524,0.05554363281016086,-0.012970799451187967
ig3-3,0.050220607254360325,0.001941757722455524,0.023024215944219564,0.003268833003050008,0.017712593561646166,-0.06629827954235956,-0.010419144877112811,-0.08283790363081486,-0.019868913348901823,-0.03214605216926084,0.10611697985951919,0.15964385481799973,0.02578476805135926,0.1062381202760341,-0.09701862909857233,0.005805673527317643,0.06125582763805434,0.056640935386642895,-0.002727447285854529,-0.021869336336382557,0.03250024954925545,-0.036009969859208624,0.03055583663591621,0.031090599864964638,-0.01079134065243774,-0.004763560187138998,0.20821689681613395,0.09724508651029425,1.0,-0.05240931003919628,-0.005843073964561363,0.01167367532965892
il_6-1,-0.019732120813467015,0.06900154513629762,0.06239847484229229,-0.011339011462359284,0.07598778356422023,-0.0217004618647191,-0.045049740734910144,-0.005101399218379174,0.011481075733651733,0.10261537164770854,0.08041573335990225,0.012863514068271105,0.07125360990428466,-0.012425278162828225,-0.010817694585079932,-0.06084140732564168,0.0011911929222720673,-0.005460811634690414,-0.012567578079872705,-0.008037448590819235,0.0026247949573407693,0.0118877639525895,0.006666646193172205,-0.009224135390389163,0.0038219480048168725,0.021379783362317464,-0.021445557322317947,0.06603698586472523,-0.05240931003919629,1.0,-0.0021907362761292284,-0.01517159757051721
interval,-0.025514101672927152,-0.010454682720046198,0.047034228210766596,0.04315298436038393,0.03724805905302351,-0.0023738930590920296,0.009939818746505829,-0.054975203824913506,0.0529104241439935,-0.07480173259133956,0.07378204727918791,0.08066389573750306,-0.07597198155182408,-0.02956128697217292,0.04190432399088056,-0.042630601522487016,0.004468725803797889,-0.027211870031947784,-0.022767903419673895,-0.05169522576720019,0.04714180642351655,0.06074466466869034,0.03953919316365101,0.03689748537443964,-0.0080383334045333,0.03740167634433348,0.02976027177621472,0.05554363281016086,-0.005843073964561363,-0.0021907362761292284,0.9999999999999998,-0.7070161817509211
event,0.1084404889835163,0.04660488073880911,0.0036691264283959402,0.0049903950026778075,0.00431692202462768,0.02117058905915873,-0.012372182683259746,0.03528219838621148,0.017693275885458305,0.012931690865425203,0.00028327799522193553,-0.044826872906389426,0.0723926834661235,0.06696273241398303,0.007613497025463441,0.013702099332912781,0.0060525074075410915,0.004258661306367795,0.009521700453744158,0.007632126874266947,0.011968069194620583,-0.016870922928873863,0.001659756093085889,0.026263758403234732,0.017682892587338427,-0.014930138536261843,-0.015874569686296282,-0.012970799451187967,0.011673675329658921,-0.01517159757051721,-0.707016181750921,1.0
